,Unnamed: 0,Label,Precision,Recall,F_Measure,lable in Data,lable in Test Data,TP,FP,FN,TN,Test Count,algorithm,label_algorithm
83,83,LI2,0.3333333333333333,0.125,0.1818181818181818,72,8,1,2,7,57,67,BR_RF,BR_RF_LI2
84,84,LI2,0.5,0.1666666666666666,0.25,72,6,1,1,5,60,67,BR_RF,BR_RF_LI2
85,85,LI2,0.125,0.2,0.1538461538461538,72,5,1,7,4,55,67,BR_RF,BR_RF_LI2
86,86,LI2,0.6,0.25,0.3529411764705882,72,12,3,2,9,52,66,BR_RF,BR_RF_LI2
89,89,LI2,0.3333333333333333,0.2,0.25,72,5,1,2,4,59,66,BR_RF,BR_RF_LI2
90,90,I7,1.0,0.25,0.4,34,4,1,0,3,63,67,BR_RF,BR_RF_I7
94,94,I7,1.0,0.3333333333333333,0.5,34,3,1,0,2,64,67,BR_RF,BR_RF_I7
96,96,I7,0.5,0.5,0.5,34,2,1,1,1,63,66,BR_RF,BR_RF_I7
99,99,I7,0.5,0.2,0.2857142857142857,34,5,1,1,4,60,66,BR_RF,BR_RF_I7
108,108,F2,1.0,0.25,0.4,53,8,2,0,6,58,66,BR_RF,BR_RF_F2
110,110,MM7,1.0,0.5,0.6666666666666666,24,2,1,0,1,65,67,BR_RF,BR_RF_MM7
114,114,MM7,1.0,0.25,0.4,24,4,1,0,3,63,67,BR_RF,BR_RF_MM7
115,115,MM7,1.0,0.5,0.6666666666666666,24,2,1,0,1,65,67,BR_RF,BR_RF_MM7
140,140,MM6,1.0,1.0,1.0,20,1,1,0,0,66,67,BR_RF,BR_RF_MM6
144,144,MM6,1.0,0.3333333333333333,0.5,20,3,1,0,2,64,67,BR_RF,BR_RF_MM6
155,155,I6,0.5,0.1428571428571428,0.2222222222222222,40,7,1,1,6,59,67,BR_RF,BR_RF_I6
0,0,LI1,0.5483870967741935,0.8717948717948718,0.6732673267326732,348,39,34,28,5,0,67,CC_NB,CC_NB_LI1
1,1,LI1,0.4262295081967213,0.8666666666666667,0.5714285714285714,348,30,26,35,4,2,67,CC_NB,CC_NB_LI1
2,2,LI1,0.5223880597014925,1.0,0.6862745098039216,348,35,35,32,0,0,67,CC_NB,CC_NB_LI1
3,3,LI1,0.532258064516129,0.8918918918918919,0.6666666666666666,348,37,33,29,4,1,67,CC_NB,CC_NB_LI1
4,4,LI1,0.5,0.8611111111111112,0.6326530612244898,348,36,31,31,5,0,67,CC_NB,CC_NB_LI1
5,5,LI1,0.5689655172413793,0.825,0.6734693877551021,348,40,33,25,7,2,67,CC_NB,CC_NB_LI1
7,7,LI1,0.5409836065573771,0.9166666666666666,0.6804123711340206,348,36,33,28,3,2,66,CC_NB,CC_NB_LI1
8,8,LI1,0.4727272727272727,0.7647058823529411,0.5842696629213483,348,34,26,29,8,3,66,CC_NB,CC_NB_LI1
9,9,LI1,0.4736842105263157,0.8181818181818182,0.6,348,33,27,30,6,3,66,CC_NB,CC_NB_LI1
20,20,I1,0.2686567164179104,1.0,0.4235294117647059,177,18,18,49,0,0,67,CC_NB,CC_NB_I1
21,21,I1,0.2686567164179104,1.0,0.4235294117647059,177,18,18,49,0,0,67,CC_NB,CC_NB_I1
22,22,I1,0.2388059701492537,1.0,0.3855421686746987,177,16,16,51,0,0,67,CC_NB,CC_NB_I1
23,23,I1,0.3134328358208955,1.0,0.4772727272727273,177,21,21,46,0,0,67,CC_NB,CC_NB_I1
24,24,I1,0.2985074626865671,1.0,0.4597701149425287,177,20,20,47,0,0,67,CC_NB,CC_NB_I1
25,25,I1,0.2388059701492537,1.0,0.3855421686746987,177,16,16,51,0,0,67,CC_NB,CC_NB_I1
26,26,I1,0.2424242424242424,1.0,0.3902439024390244,177,16,16,50,0,0,66,CC_NB,CC_NB_I1
27,27,I1,0.2575757575757575,1.0,0.4096385542168674,177,17,17,49,0,0,66,CC_NB,CC_NB_I1
28,28,I1,0.2424242424242424,1.0,0.3902439024390244,177,16,16,50,0,0,66,CC_NB,CC_NB_I1
29,29,I1,0.2878787878787879,1.0,0.4470588235294118,177,19,19,47,0,0,66,CC_NB,CC_NB_I1
35,35,F1,0.1111111111111111,0.0666666666666666,0.0833333333333333,149,15,1,8,14,44,67,CC_NB,CC_NB_F1
36,36,F1,0.1969696969696969,1.0,0.3291139240506329,149,13,13,53,0,0,66,CC_NB,CC_NB_F1
38,38,F1,0.1818181818181818,0.1666666666666666,0.1739130434782608,149,12,2,9,10,45,66,CC_NB,CC_NB_F1
39,39,F1,0.2222222222222222,0.1,0.1379310344827586,149,20,2,7,18,39,66,CC_NB,CC_NB_F1
43,43,SP1,0.4,0.25,0.3076923076923077,89,8,2,3,6,56,67,CC_NB,CC_NB_SP1
46,46,SP1,0.6666666666666666,0.2857142857142857,0.4,89,7,2,1,5,58,66,CC_NB,CC_NB_SP1
48,48,SP1,0.3,0.375,0.3333333333333332,89,8,3,7,5,51,66,CC_NB,CC_NB_SP1
50,50,L2,0.1129032258064516,1.0,0.2028985507246377,82,7,7,55,0,5,67,CC_NB,CC_NB_L2
51,51,L2,0.1206896551724138,1.0,0.2153846153846154,82,7,7,51,0,9,67,CC_NB,CC_NB_L2
52,52,L2,0.1194029850746268,1.0,0.2133333333333333,82,8,8,59,0,0,67,CC_NB,CC_NB_L2
53,53,L2,0.1290322580645161,1.0,0.2285714285714286,82,8,8,54,0,5,67,CC_NB,CC_NB_L2
54,54,L2,0.1774193548387097,1.0,0.3013698630136986,82,11,11,51,0,5,67,CC_NB,CC_NB_L2
55,55,L2,0.1551724137931034,1.0,0.2686567164179104,82,9,9,49,0,9,67,CC_NB,CC_NB_L2
57,57,L2,0.1639344262295081,1.0,0.2816901408450704,82,10,10,51,0,5,66,CC_NB,CC_NB_L2
58,58,L2,0.1428571428571428,0.8,0.2424242424242424,82,10,8,48,2,8,66,CC_NB,CC_NB_L2
59,59,L2,0.1578947368421052,1.0,0.2727272727272727,82,9,9,48,0,9,66,CC_NB,CC_NB_L2
68,68,FP5,0.1,0.2,0.1333333333333333,34,5,1,9,4,52,66,CC_NB,CC_NB_FP5
75,75,OTHER,0.2222222222222222,0.4,0.2857142857142857,27,5,2,7,3,55,67,CC_NB,CC_NB_OTHER
76,76,OTHER,0.0151515151515151,1.0,0.0298507462686567,27,1,1,65,0,0,66,CC_NB,CC_NB_OTHER
79,79,OTHER,0.1111111111111111,0.2,0.1428571428571428,27,5,1,8,4,53,66,CC_NB,CC_NB_OTHER
96,96,I7,0.0303030303030303,1.0,0.0588235294117647,34,2,2,64,0,0,66,CC_NB,CC_NB_I7
106,106,F2,0.0303030303030303,1.0,0.0588235294117647,53,2,2,64,0,0,66,CC_NB,CC_NB_F2
108,108,F2,0.0909090909090909,0.125,0.1052631578947368,53,8,1,10,7,48,66,CC_NB,CC_NB_F2
156,156,I6,0.0454545454545454,1.0,0.0869565217391304,40,3,3,63,0,0,66,CC_NB,CC_NB_I6
188,188,MM1,0.1,0.25,0.1428571428571428,32,4,1,9,3,53,66,CC_NB,CC_NB_MM1
196,196,I8,0.0303030303030303,1.0,0.0588235294117647,22,2,2,64,0,0,66,CC_NB,CC_NB_I8
226,226,L1,0.0303030303030303,1.0,0.0588235294117647,23,2,2,64,0,0,66,CC_NB,CC_NB_L1
231,231,NB1,0.0327868852459016,1.0,0.0634920634920634,21,2,2,59,0,6,67,CC_NB,CC_NB_NB1
233,233,NB1,0.032258064516129,1.0,0.0625,21,2,2,60,0,5,67,CC_NB,CC_NB_NB1
234,234,NB1,0.032258064516129,1.0,0.0625,21,2,2,60,0,5,67,CC_NB,CC_NB_NB1
235,235,NB1,0.0172413793103448,1.0,0.0338983050847457,21,1,1,57,0,9,67,CC_NB,CC_NB_NB1
237,237,NB1,0.0655737704918032,1.0,0.123076923076923,21,4,4,57,0,5,66,CC_NB,CC_NB_NB1
238,238,NB1,0.0181818181818181,0.5,0.0350877192982456,21,2,1,54,1,10,66,CC_NB,CC_NB_NB1
239,239,NB1,0.0350877192982456,1.0,0.0677966101694915,21,2,2,55,0,9,66,CC_NB,CC_NB_NB1
250,250,I5,0.0483870967741935,1.0,0.0923076923076923,17,3,3,59,0,5,67,CC_NB,CC_NB_I5
